"지점","지점명","일시","평균기온","최저기온","최저기온시각","최고기온","최고기온시각","강수계속시간","최다강수량10분","최다강수량시각10분","최다강수량1시간","최다강수량시각1시간","일강수량","최대순간풍속","최대순간풍속풍향","최대순간풍속시각","최대풍속","최대풍속풍향","최대풍속시각","평균풍속","풍정합","최다풍향","평균이슬점온도","최소상대습도","최소상대습도시각","평균상대습도","평균증기압","평균현지기압","최고해면기압","최고해면기압시각","최저해면기압","최저해면기압시각","평균해면기압","가조시간","합계일조시간","최다일사시각1시간","최다일사량1시간","합계일사량","일최심신적설","일최심신적설시각","일최심적설","일최심적설시각","합계3시간신적설","평균전운량","평균중하층운량","평균지면온도","최저초상온도","평균5CM지중온도","평균10CM지중온도","평균20CM지중온도","평균30CM지중온도","지중온도50CM","지중온도100CM","지중온도150CM","지중온도300CM","지중온도500CM","합계대형증발량","합계소형증발량","강수9_9"
100,"대관령",22/12/06,-5.4,-10.9,401,-2.3,1338,,"","","","",,16.4,270,1423,10.3,270,1448,6.2,5317,270,-10.6,42,1,66.9,2.8,928.2,1027.5,119,1019.9,1401,1023.2,9.7,5.6,1300,1.9,9.51,,,,,,3.8,3.8,-4.7,-13.7,,,,,,,,,,1.2,1.7,
100,"대관령",22/12/07,-1.2,-4.1,6,1.5,1442,,"","","","",,21.3,290,1329,12,270,1331,7.7,6672,270,-8,40,1437,60.9,3.4,928.5,1024.7,2357,1019.2,1400,1022,9.7,7.5,1100,1.93,10.67,,,,,,2.4,2.3,-1.6,-5.5,,,,,,,,,,1.8,2.6,
100,"대관령",22/12/08,-1,-4.7,2309,4.4,1242,,"","","","",,13.3,290,1,8.1,270,21,3.1,2638,270,-12.1,16,1532,46,2.5,932.6,1028.3,733,1024.1,1504,1026.5,9.7,8.2,1200,1.83,8.71,,,,,,3.5,2.6,-1.9,-9,,,,,,,,,,1.4,2,
100,"대관령",22/12/09,-2.7,-8.2,616,2,1434,,"","","","",,15.6,270,1451,9,270,1458,2.8,2462,270,-7,46,25,72.1,3.7,930.2,1027.7,215,1020.5,1501,1024.4,9.6,3.2,1200,1.07,4.56,,,,,,5,4,-3.3,-11.4,,,,,,,,,,0.7,1,
100,"대관령",22/12/10,-3.5,-8,632,3.7,1207,,"","","","",,6.5,110,1412,3.9,90,1421,1.2,1062,290,-8.7,28,1123,70.5,3.2,928.4,1026.2,649,1017.8,1419,1022.8,9.6,4.1,1100,1.36,6.43,,,,,,5.3,5.1,-3.9,-12.5,,,,,,,,,,0.8,1.1,
100,"대관령",22/12/11,-4.9,-11.1,637,4.1,1421,,"","","","",,6.2,140,1535,3.3,90,1512,0.8,682,110,-9.1,41,1353,74.3,3.1,930.7,1029.4,2344,1021.5,1351,1025.8,9.6,7.6,1300,1.84,10.53,,,,,,2.3,1.8,-3.3,-14.7,,,,,,,,,,1,1.5,
100,"대관령",22/12/12,-3.4,-11.4,601,4.5,1230,,"","","","",,18.5,270,2355,10.8,270,2400,4.1,3501,270,-9.1,31,1216,67.4,3.1,926.5,1029.7,331,1014.1,2358,1020.6,9.6,4.8,1200,1.74,7.48,,,,,,4.9,4.3,-3.1,-14.4,,,,,,,,,,1.6,2.3,
100,"대관령",22/12/13,-4.7,-9.8,2400,-2,1137,,"","","","",0.8,21.1,270,53,12.9,270,143,7.9,6837,270,-8.4,49,1239,75.1,3.3,922,1019.8,2400,1013.7,140,1016.1,9.6,1.6,1100,1.68,4.98,,,,,,7.4,6.9,-1.8,-4.9,,,,,,,,,,0.9,1.3,
100,"대관령",22/12/14,-13.9,-16.8,725,-9.9,1,,"","","","",,21.2,250,32,11,290,239,6.3,5404,270,-24.6,28,1407,40.9,0.8,928.2,1029.1,936,1019.7,1,1026.6,9.6,8.8,1200,2.09,11.53,,,,,,0.4,0.4,-5.4,-18,,,,,,,,,,0.9,1.3,
100,"대관령",22/12/15,-8.2,-16.3,12,-3.6,2013,,"","","","",0.9,15.7,270,2045,9.1,270,2301,5.1,4418,290,-11.7,59,1,75.8,2.6,928.4,1029.7,22,1021.1,1458,1024.6,9.6,1.2,1100,0.9,4.94,,,,,,6.3,5.3,-4.4,-18,,,,,,,,,,0.6,0.9,
100,"대관령",22/12/16,-9.3,-17.8,752,-3,1306,,"","","","",,13.5,270,244,8.5,290,40,2.8,2446,320,-19.4,17,1607,47.9,1.3,932.9,1034.7,840,1024.5,1,1030,9.6,8.4,1200,1.98,11.04,,,,,,4.8,4,-3,-13.7,,,,,,,,,,1.4,2,
100,"대관령",22/12/17,-11.6,-15.7,2338,-7.7,1355,,"","","","",,15.6,290,1856,10.2,270,1928,5.2,4468,270,-24,23,1230,35.6,0.9,927.1,1030.4,1,1021.3,1412,1024.5,9.6,6.5,1200,1.81,9.58,,,,,,1.8,1.6,-4.1,-17.7,,,,,,,,,,1.2,1.7,
100,"대관령",22/12/18,-14.8,-17.4,434,-11.4,1409,,"","","","",,20.3,290,1221,11.1,270,1147,6.5,5597,270,-26.9,22,1431,36.3,0.7,923.6,1024.6,2353,1018.4,1416,1021.9,9.6,8.2,1200,2.06,11.66,,,,,,0.1,0.1,-6.6,-18.8,,,,,,,,,,1.2,1.7,
100,"대관령",22/12/19,-12,-16.1,129,-7.7,1453,,"","","","",,17,270,1433,10.1,290,1344,6,5198,270,-20.6,33,1231,49.6,1.2,928.5,1029.3,2304,1023.5,423,1026.2,9.6,5.3,1200,2.01,11.32,,,,,,1.1,0.3,-6.7,-17.4,,,,,,,,,,1.1,1.5,
100,"대관령",22/12/20,-8.1,-14.2,704,-2.6,1524,,"","","","",,11.4,250,1326,6.5,270,1248,3.1,2695,270,-17.7,20,1051,48.3,1.6,931.4,1032,711,1024.6,2354,1027.8,9.6,8,1200,2.05,11.06,,,,,,3.4,3.1,-5.6,-16.2,,,,,,,,,,1.2,1.8,
100,"대관령",22/12/21,-4,-8.7,13,-0.7,1310,,"","","","",0.6,12.4,290,2359,6.7,270,2400,2.9,2510,270,-6.9,60,518,79.8,3.7,919.1,1025,13,1008.4,2353,1012.7,9.6,,1200,0.89,3.95,,,,,,8,7.4,-3,-9,,,,,,,,,,0.6,0.9,
100,"대관령",22/12/22,-12.6,-17.3,2330,-4.5,1,,"","","","",,20.3,270,1333,12.5,270,1320,8.4,7287,270,-17.9,53,1255,64.3,1.6,910.9,1009.4,706,1004.1,1326,1006.9,9.6,,1200,2.02,10.43,,,,,,2.8,1.6,-4.4,-16.5,,,,,,,,,,0.8,1.1,
100,"대관령",22/12/23,-17.9,-20.2,738,-15.2,1413,,"","","","",,17.4,270,715,10.1,270,1034,6.7,5785,270,-22.9,53,1319,64.4,1,913.1,1019.1,2351,1007.2,1,1011.5,9.6,0,1200,1.96,10.53,,,,,,4.9,3.1,-8.8,-19.8,,,,,,,,,,0.5,0.7,
100,"대관령",22/12/24,-12.1,-21.8,502,-0.7,1456,,"","","","",0,6,250,1620,3.3,270,1620,1.1,947,270,-17.7,45,1456,64.5,1.7,924.2,1024.5,2400,1016.9,1328,1021.5,9.6,,1100,2.09,11.14,,,,,,5,2.9,-6.9,-21,,,,,,,,,,0.9,1.3,
100,"대관령",22/12/25,-10,-16.4,437,-1.3,1344,,"","","","",,7.4,270,1531,4.7,270,1534,1.5,1338,270,-15.6,40,1515,65.1,1.8,927.6,1028.2,2400,1019.7,1348,1024.4,9.6,,1200,1.97,11.31,,,,,,0.9,0.3,-6.4,-18.7,,,,,,,,,,1,1.4,
100,"대관령",22/12/26,-11.2,-19.2,759,-1.3,1356,,"","","","",,2.9,270,1340,1.8,250,1330,0.4,376,110,-16.9,31,1504,65.6,1.7,931.3,1032.2,2333,1024,1356,1029,9.6,,1300,1.52,8.89,,,,,,3.9,2.6,-7.1,-19.4,,,,,,,,,,0.6,0.9,
100,"대관령",22/12/27,-9.3,-18.5,735,-0.3,1358,,"","","","",,7.5,270,1415,5.1,270,1435,1.5,1287,290,-17.6,22,1520,56.4,1.6,933.8,1035.5,824,1026,1424,1031,9.6,,1200,2.03,11.47,,,,,,2.4,1.8,-6.6,-20,,,,,,,,,,1.5,2.2,
100,"대관령",22/12/28,-7.2,-10.7,2352,-4.5,1340,,"","","","",,19.5,290,719,11.8,270,721,8.4,7267,270,-15.4,29,1407,53.4,1.9,931.7,1031.1,2351,1025,1344,1027.8,9.6,,1200,2.04,11.18,,,,,,2.5,2.5,-5.5,-11.9,,,,,,,,,,1.6,2.3,
100,"대관령",22/12/29,-8.4,-12,409,-4.5,1308,,"","","","",0,16.3,270,455,9.6,270,455,6,5177,270,-18.8,24,1405,45.6,1.4,935.1,1034.3,2251,1029.2,1415,1032,9.6,,1200,2.07,11.53,,,,,,1,0.3,-6.6,-13,,,,,,,,,,1.5,2.1,
100,"대관령",22/12/30,-6.4,-9.4,42,-1.7,1344,,"","","","",0,10.3,250,113,6.2,270,1628,3.8,3290,270,-13,32,1544,61.5,2.3,935.5,1034.2,4,1028.9,1421,1031.7,9.6,,1200,2.05,11.7,,,,,,0.3,0.3,-5.3,-12.6,,,,,,,,,,1.4,1.9,
100,"대관령",22/12/31,-6.1,-10.7,259,-3,1457,,"","","","",,16.8,290,1117,10.1,290,1110,5.6,4859,270,-12.3,51,626,61.6,2.4,934,1032.5,253,1028,2355,1030,9.6,,1200,1.92,10.54,,,,,,1.3,0.4,-5.5,-12.4,,,,,,,,,,1.3,1.8,
101,"춘천",22/12/01,-5.4,-10.2,755,-0.3,1350,,"","","","",,7.4,270,1336,4.2,230,1451,1.7,1442,200,-15.3,29,1043,47.3,1.9,1022.3,1034.5,122,1029.4,1428,1032.2,9.8,7.9,1300,1.77,9.68,,,,,,1.5,,-3.3,-12.5,0.7,1.3,4,6,8.6,12.9,15.5,18.4,18.4,1.1,1.6,
90,"속초",22/12/01,-3.3,-7.2,656,0.7,1327,,"","","","",,11.6,290,1630,6,270,1639,2.7,2336,270,-19.7,23,117,26.8,1.3,1026.6,1030.7,838,1025.5,1506,1028.8,9.7,9,,,,,,,,,1.1,0.9,-1,-8.8,,,,,,,,,,,,
90,"속초",22/12/02,-1.2,-6,722,3.8,1333,,"","","","",,7.6,290,326,4.6,290,330,1.8,1534,320,-18.7,11,1015,26.3,1.5,1025.9,1030.9,814,1026,1942,1028.1,9.7,9.1,,,,,,,,,1.3,0.3,-0.8,-11.3,,,,,,,,,,,,
90,"속초",22/12/03,4.4,-2.9,31,8.3,1236,,"","","","",0,11.8,290,2313,5.6,340,557,2.5,2162,290,-6.4,30,2353,46,3.9,1020.1,1026.2,8,1020.1,1309,1022.3,9.7,5.7,,,,,,,,,5.9,4.3,2.1,-6.5,,,,,,,,,,,,
90,"속초",22/12/04,0.4,-2.2,731,3.7,1,,"","","","",,8.3,360,418,4.7,290,451,1.8,1548,290,-18.8,15,1212,22.3,1.4,1025.4,1029.5,1045,1023.7,5,1027.6,9.7,4.2,,,,,,,,,6.9,3.3,0.9,-6.6,,,,,,,,,,,,
90,"속초",22/12/05,-0.3,-4.3,750,4.1,1522,,"","","","",,6.9,270,2030,3.5,270,2101,1.5,1272,290,-16.6,18,956,28.3,1.7,1024.2,1029.3,322,1023.9,2350,1026.4,9.6,8.1,,,,,,,,,2,1.5,0.3,-8.6,,,,,,,,,,,,
90,"속초",22/12/06,1.4,-1.9,312,3.4,1256,,"","","","",,12.2,290,1543,5.8,290,1444,2.7,2292,270,-10.3,36,11,41.6,2.8,1018.4,1024,44,1018.6,1452,1020.6,9.6,6.9,,,,,,,,,2.1,0.8,-0.5,-8.2,,,,,,,,,,,,
90,"속초",22/12/07,5.6,2.5,112,8.7,1406,,"","","","",,12.9,290,1938,7.5,290,1822,3,2589,270,-8.4,26,1558,36.1,3.3,1017.3,1022.1,2328,1017.5,1414,1019.4,9.6,8.9,,,,,,,,,0.5,0,2.1,-3.9,,,,,,,,,,,,
90,"속초",22/12/08,6.2,2.2,543,11.6,1437,,"","","","",,9.9,290,148,4.8,290,1840,2,1736,270,-11,16,1409,29.1,2.7,1021.7,1025.5,1037,1022.1,1,1023.9,9.6,8.8,,,,,,,,,3.4,2,3.4,-5,,,,,,,,,,,,
90,"속초",22/12/09,5.9,2.2,610,8.9,1137,,"","","","",,9.4,270,1750,5.5,290,1708,2,1752,290,-5.3,24,4,44.6,4.2,1018.8,1023.9,1,1018.9,1701,1021,9.6,3.4,,,,,,,,,3.9,2.4,2.2,-4.3,,,,,,,,,,,,
90,"속초",22/12/10,3.9,1.1,351,7.8,1141,,"","","","",,7.8,360,1317,5.3,360,1323,2,1747,290,-10.2,19,1027,35.4,2.8,1017.7,1021.2,719,1018.2,1427,1019.9,9.6,2.9,,,,,,,,,4.8,2.9,1.8,-6.7,,,,,,,,,,,,
90,"속초",22/12/11,3.8,0.7,2155,8.2,1348,,"","","","",,5.6,340,1029,3.6,360,1118,2.2,1935,290,-4.9,36,134,53.4,4.3,1020.5,1025,2019,1020.1,1,1022.7,9.6,8.4,,,,,,,,,2.1,0.1,2.8,-4.4,,,,,,,,,,,,
90,"속초",22/12/12,4.5,0.3,659,10,1302,,"","","","",0,10.4,290,1414,6.1,290,1425,2.1,1800,270,-5.3,19,1437,52,4.2,1015.5,1024.6,11,1013.5,2203,1017.7,9.6,5.1,,,,,,,,,5.5,3.8,2.8,-4.6,,,,,,,,,,,,
90,"속초",22/12/13,1.6,-5.1,2359,4.9,218,,"","","","",0.7,14.6,290,2157,6,270,459,3.2,2731,270,-10.5,28,1400,41,2.9,1012,1018.7,2359,1011.2,439,1014.2,9.6,5.8,,,,,,,,,3.6,2.9,3,-8,,,,,,,,,,,,
90,"속초",22/12/14,-6.9,-10.5,722,-4.4,1358,,"","","","",,12.9,250,252,6.5,270,258,2.5,2172,270,-25,16,1143,22.3,0.8,1020.5,1024.8,920,1018.6,1,1022.8,9.5,8.9,,,,,,,,,1.3,0,-1.5,-13.2,,,,,,,,,,,,
90,"속초",22/12/15,-1.8,-7.3,529,3.1,1245,,"","","","",0,8.7,340,2037,4.5,320,2044,1.9,1675,270,-11.5,27,2321,48,2.7,1020,1024.7,51,1018.9,1348,1022.2,9.5,6,,,,,,,,,4.4,1.8,-1.3,-10.3,,,,,,,,,,,,
90,"속초",22/12/16,-2.1,-6.4,806,2.5,1417,,"","","","",,7.3,290,256,4.4,290,258,1.2,997,270,-20.5,14,1204,23.4,1.2,1024.6,1029.4,955,1023.6,1,1026.9,9.5,8.6,,,,,,,,,3.8,2,-1.2,-12.2,,,,,,,,,,,,
90,"속초",22/12/17,-4.9,-9,2341,-1.3,1120,,"","","","",,13.6,290,1400,6.3,290,1440,2.6,2271,290,-24.1,13,1124,21.3,0.9,1020,1026.6,3,1020,1451,1022.3,9.5,7.9,,,,,,,,,2.4,1,-2.2,-13,,,,,,,,,,,,
90,"속초",22/12/18,-7.9,-10.7,556,-4.8,1323,,"","","","",,9.8,290,1248,5.2,290,1559,2.4,2107,290,-26.2,14,1313,22.1,0.7,1016.4,1020.8,7,1016.1,1454,1018.7,9.5,8.9,,,,,,,,,0.8,0,-3.9,-14.4,,,,,,,,,,,,
90,"속초",22/12/19,-4.8,-9.2,252,-1,1410,,"","","","",,11.5,290,908,6.6,290,910,2.6,2214,270,-21.8,16,605,25.3,1.1,1020.8,1025.7,2249,1018.7,4,1023.1,9.5,8.9,,,,,,,,,1.1,0,-3.2,-13.4,,,,,,,,,,,,
90,"속초",22/12/20,-0.4,-5.1,728,4.1,1240,,"","","","",,6.5,270,11,3.3,290,350,1.3,1095,290,-17.2,17,1030,27.8,1.7,1022.1,1027.7,954,1020,2341,1024.4,9.5,8.8,,,,,,,,,,,-1.6,-13.1,,,,,,,,,,,,
90,"속초",22/12/21,2.9,-0.7,333,9.2,1223,,"","","","",0,8.8,270,1944,4.3,290,1752,1.9,1663,270,-7.9,26,644,45.6,3.6,1007.7,1020.4,1,1006.4,2350,1009.9,9.5,3.8,,,,,,,,,7.1,3.6,0.9,-3.5,,,,,,,,,,,,
90,"속초",22/12/22,-5.6,-10.5,2314,1.3,1,,"","","","",,17,270,1556,8.5,270,1540,3.6,3147,270,-19.1,25,1256,33.8,1.4,1001.5,1006.6,302,1001.2,1509,1003.7,9.5,8.6,,,,,,,,,2.1,0,-1.7,-11.8,,,,,,,,,,,,
90,"속초",22/12/23,-9.2,-12.5,726,-5.3,1405,,"","","","",,12,290,4,5.1,270,5,2.9,2529,270,-22.2,24,1409,34.1,1,1002.9,1012,2324,1001.3,425,1005.2,9.5,8.9,,,,,,,,,3.3,1.6,-3.9,-13.4,,,,,,,,,,,,
90,"속초",22/12/24,-1.1,-9.5,46,5.9,1326,,"","","","",,7.3,290,2322,4.7,290,418,2.6,2281,290,-14.5,23,1512,36.5,2,1013.9,1017.3,2400,1011.8,26,1016.1,9.5,7.8,,,,,,,,,3.1,1.6,-0.9,-10.8,,,,,,,,,,,,
90,"속초",22/12/25,0.5,-2.2,716,5.3,1424,,"","","","",,8.6,340,1110,5.4,340,1117,2.9,2538,290,-12.7,27,1525,36.6,2.3,1017,1021.6,2251,1016.9,44,1019.2,9.5,8,,,,,,,,,1.6,0.1,0.1,-7.2,,,,,,,,,,,,
90,"속초",22/12/26,0.3,-2.9,437,5.5,1247,,"","","","",,5.9,290,515,4.6,290,2,2.6,2288,290,-11.6,27,1140,40.8,2.6,1021.4,1025.2,2323,1021.6,1,1023.6,9.5,8.7,,,,,,,,,2.5,0,-0.1,-4.9,,,,,,,,,,,,
90,"속초",22/12/27,1.3,-3.6,649,7.3,1254,,"","","","",,9.3,230,2325,5.6,290,2352,2.1,1838,270,-14.7,15,1227,31,2,1023.9,1027.6,1012,1024.6,1503,1026.2,9.5,8.8,,,,,,,,,2.4,1.5,-0.1,-9.7,,,,,,,,,,,,
90,"속초",22/12/28,-0.4,-3.1,2400,2.6,1130,,"","","","",0,11.4,270,431,5.2,290,8,2.6,2280,340,-15.5,18,1219,32.4,1.9,1023.6,1028.3,2340,1023.9,1412,1025.8,9.5,7.9,,,,,,,,,2.3,0.8,-0.2,-5.9,,,,,,,,,,,,
90,"속초",22/12/29,-1.4,-5.1,537,2.4,1428,,"","","","",,12.1,290,1509,8.5,270,1517,3.4,2946,290,-16.9,19,1408,30.5,1.7,1027.1,1030.8,945,1027.3,1514,1029.4,9.5,8.9,,,,,,,,,0.4,0,-1.1,-9.9,,,,,,,,,,,,
90,"속초",22/12/30,0.5,-4.2,804,5.7,1438,,"","","","",,7.2,290,1555,4.5,290,2328,1.5,1308,250,-12.9,21,1429,36.9,2.3,1026.4,1030.1,2,1027.2,1450,1028.6,9.5,8.9,,,,,,,,,0.6,0,-0.4,-11.3,,,,,,,,,,,,
90,"속초",22/12/31,1.9,-2.5,43,5.9,1259,,"","","","",,14,290,2344,8.8,290,2400,3,2590,270,-11.4,26,1254,36.9,2.6,1023.6,1028.2,224,1023.9,1410,1025.8,9.6,8.9,,,,,,,,,0.4,0,-0.2,-10.3,,,,,,,,,,,,
93,"북춘천",22/12/01,-6.3,-11,713,-1.1,1509,,"","","","",,8.2,230,1600,4.7,230,1618,1.2,1051,230,-15.6,30,1135,49.3,1.9,1020,1034.9,121,1029.6,1529,1032.6,9.8,9,1200,1.98,11.47,,,,,,1.3,0.3,-3.3,-11.7,-0.5,0.8,3,4.8,6.8,11.6,14.3,18.7,19.2,1.1,1.6,
93,"북춘천",22/12/02,-5.7,-11.4,714,0.7,1603,,"","","","",,4.7,230,1708,2.9,230,1716,0.8,700,110,-13.5,19,1600,59.5,2.2,1018.9,1034.7,848,1028.8,2114,1031.4,9.7,9,1200,1.98,12.48,,,,,,1,0.6,-3.2,-12.5,-1.1,0,2.1,3.6,5.5,11,14.1,18.7,19.1,1.2,1.7,0.9
93,"북춘천",22/12/03,-0.8,-6.4,20,3.8,1607,8.17,"","","","",1.1,6.3,250,2351,3.7,250,2359,0.8,732,20,-4.2,46,2354,78.9,4.6,1014.2,1028.9,13,1024.4,1541,1026.4,9.7,1.2,1300,1.18,4.51,1.3,955,1.3,955,1.3,8,6.4,-0.9,-7.6,-0.6,0.3,1.9,3.2,4.9,10.5,14,18.7,19.1,0.8,1.1,0.2
93,"북춘천",22/12/04,-3.2,-6.1,2359,0.7,1,,"","","","",,8,340,406,4.6,250,15,1.5,1287,340,-14.8,28,1426,40.9,2,1019.2,1033.3,1014,1027.8,1,1031.6,9.7,3.3,1100,1.35,6.6,,,,,,7.4,0,-2.5,-7.6,-0.6,0.3,1.8,3,4.5,9.8,13.6,18.6,19.1,0.8,1.1,
93,"북춘천",22/12/05,-4.3,-9.2,823,1.5,1538,,"","","","",,6.7,340,1707,3.5,320,1713,1,903,20,-14.1,22,1601,49.1,2.1,1017.8,1033.8,308,1027.1,1538,1030.2,9.7,8.6,1200,1.96,11.03,,,,,,3.6,0,-2.7,-10.4,-1.2,-0.2,1.6,2.7,4.1,9.3,13.3,18.5,19,1.2,1.6,0
93,"북춘천",22/12/06,-3.1,-9,412,3.6,1510,4.42,"","","","",0,7.3,290,1531,4.1,250,1532,0.9,749,270,-7.4,45,1516,73.5,3.6,1011.9,1028.4,1,1021.5,1504,1024.2,9.7,4.1,1200,1.46,7.21,,,,,,5.8,5.5,-2.2,-10.4,-1.2,-0.4,1.2,2.4,3.9,9.1,13,18.5,19,0.8,1.1,0
93,"북춘천",22/12/07,1.2,-5.1,729,8.1,1341,,"","","","",,9.4,230,1306,5.7,250,1403,1.8,1528,20,-5,32,1352,68,4.2,1011.5,1026.5,2355,1021.4,1448,1023.6,9.7,8.5,1100,1.86,10.9,,,,,,2.9,2.9,-0.3,-7.3,-0.6,-0.2,1.2,2.2,3.7,8.8,12.6,18.3,19,1.6,2.3,
93,"북춘천",22/12/08,-0.9,-6.3,728,7.8,1511,,"","","","",,4.9,200,1645,2.7,180,1608,0.7,571,50,-6.6,21,1620,69.1,3.8,1014.7,1029.1,927,1025.1,1520,1026.9,9.6,8.5,1000,1.74,10.47,,,,,,2,0,-0.6,-8.7,-0.5,0,1.3,2.3,3.5,8.3,12.3,18.2,18.8,1.2,1.7,0
93,"북춘천",22/12/09,-0.8,-5.5,258,6.7,1548,1.17,"","","","",0,2.9,50,1758,1.7,50,1803,0.5,459,340,-4.5,52,1422,77.5,4.4,1011.9,1026.7,8,1021.4,1629,1024,9.6,4.5,1200,1.38,6.61,,,,,,4.3,4.3,-0.4,-6.7,-0.5,0.1,1.4,2.3,3.5,8.1,12.1,18.2,18.8,0.7,1,
93,"북춘천",22/12/10,-1.6,-5.8,541,5.4,1544,,"","","","",,3.3,200,1245,2.2,180,1246,0.6,510,360,-5.6,33,1615,76.6,4,1009.9,1024.5,257,1019.1,1506,1022.1,9.6,3.8,1200,1.91,7.44,,,,,,6.3,2.1,-0.7,-7.2,-0.5,0.1,1.5,2.2,3.4,8,11.8,18.1,18.7,0.8,1.1,
93,"북춘천",22/12/11,-2.1,-7.4,807,7.1,1533,,"","","","",,2.5,180,1231,1.7,320,2107,0.6,482,290,-7,30,1521,73.1,3.6,1012.3,1026.5,2257,1022.4,36,1024.5,9.6,8.8,1100,1.92,11.52,,,,,,0,0,-1,-8.5,-0.6,0,1.4,2.2,3.4,7.8,11.6,18,18.7,1.2,1.7,
93,"북춘천",22/12/12,-1,-7.2,334,5.1,1519,3.42,"","","","",1.7,6.1,180,1600,3.5,200,1810,0.8,682,200,-4.2,46,1441,81.4,4.6,1009,1026.9,228,1017.1,2352,1021.2,9.6,4.3,1300,1.2,6.69,0.3,2055,0.3,2055,0.3,7.6,4.8,-1.2,-8.2,-0.6,0,1.3,2.2,3.2,7.5,11.3,17.7,18.7,0.7,1,1.7
