"시도","시군구","피해유형","피해시작일","피해종료일"
"강원도","춘천시","운반급수",20/10/06,20/10/12
"강원도","춘천시","운반급수",20/10/19,20/11/01
"강원도","정선군","운반급수",20/10/27,20/10/27
"강원도","춘천시","운반급수",20/10/27,20/11/14
"경기도","광주시","운반급수",20/10/28,20/12/31
"경상남도","양산시","제한운반",20/11/04,20/11/05
"강원도","화천군","운반급수",20/11/04,20/11/04
"강원도","화천군","운반급수",20/11/04,20/11/30
"전라남도","신안군","운반급수",20/11/09,20/11/09
"강원도","정선군","운반급수",20/11/11,21/01/26
"강원도","정선군","운반급수",20/11/11,21/03/10
"강원도","춘천시","운반급수",20/11/11,20/11/13
"강원도","정선군","운반급수",20/11/15,20/11/16
"강원도","정선군","운반급수",20/11/15,21/01/10
"강원도","삼척시","운반급수",20/11/17,20/11/17
"경상남도","거제시","운반급수",20/11/18,21/12/03
"강원도","춘천시","운반급수",20/11/25,20/11/25
"강원도","원주시","운반급수",20/11/26,20/12/17
"강원도","정선군","운반급수",20/11/30,21/03/01
"강원도","정선군","운반급수",20/12/01,21/02/28
"강원도","정선군","운반급수",20/12/02,20/12/04
"강원도","정선군","운반급수",20/12/02,21/03/02
"강원도","정선군","운반급수",20/12/03,21/03/04
"강원도","원주시","운반급수",20/12/04,20/12/04
"강원도","원주시","운반급수",20/12/17,20/12/17
"강원도","정선군","운반급수",20/12/18,21/01/27
"강원도","원주시","운반급수",20/12/24,20/12/24
"강원도","정선군","운반급수",20/12/24,21/03/20
"강원도","정선군","운반급수",20/12/25,21/02/27
"강원도","태백시","운반급수",20/12/25,20/12/27
"강원도","정선군","운반급수",20/12/27,21/02/28
"강원도","정선군","운반급수",20/12/30,21/02/25
"강원도","춘천시","운반급수",20/12/30,21/03/10
"강원도","춘천시","운반급수",20/12/31,21/01/29
