"가뭄","누적강수량","가조시간","평균기온","수위"
"심한습윤",1812.7,9.8,1.9,80
"심한습윤",1762.7,9.8,-3.2,80
"심한습윤",1762.7,9.8,-1.7,80
"정상",463.2,10.8,3.8,80
"정상",260.4,13.7,17.4,20
"정상",459.6,11,-3.7,80
"약한가뭄",175.3,12,9.5,81
"정상",269.5,13.2,15.5,81
"정상",327.7,14.1,21,81
"정상",341.6,14.4,19.1,80
"정상",358.2,14.4,17.8,81
"정상",359.6,14.5,20.2,81
"정상",389.9,14.5,20,81
"정상",629.5,14.4,27.4,81
"약한가뭄",836.3,12.2,21,81
"약한가뭄",854.3,11.7,20.6,81
"약한가뭄",856.3,11.5,22.3,81
"정상",865.9,11.4,19.4,81
"정상",872.5,11.2,7.8,81
"정상",749.3,9.8,3,80
"보통가뭄",144.8,13.3,15.3,80
"보통가뭄",171.6,14,16.7,80
"약한가뭄",751.7,10.7,9.7,80
"정상",760.9,9.9,3.3,80
"정상",745,9.8,-5.9,80
"약한가뭄",690.4,11.6,18,156
"보통가뭄",388.2,9.8,-4.1,156
"약한가뭄",373.3,10,-4.1,156
"정상",308.3,10.7,1.7,156
"정상",308.6,10.8,-3.7,156
"보통습윤",905.5,10.1,2.3,33
"정상",669.7,10.8,7.2,33
"정상",258.8,13,9.6,33
"정상",318.7,13.3,10,34
"정상",437.7,14.2,17.4,33
"정상",443.4,14.3,22.5,33
"정상",238.1,13,18.9,58
"정상",286.9,13.7,15,50
"보통습윤",356.7,14.4,21.2,63
"정상",596.2,14.2,31.8,62
"정상",808.3,12.5,20.7,47
"정상",876.4,11.2,12.7,76
"정상",817.7,10.4,8.8,81
"정상",771.1,9.9,5.4,70
"정상",771.1,9.9,4.9,77
"정상",787,9.8,-4.3,81
"정상",694.6,9.7,-4.5,71
"심한습윤",770.5,11,4.4,42
"보통습윤",594.5,11.8,4.9,40
"보통습윤",522.7,12.6,5.6,45
"심한습윤",522.7,12.7,8.7,46
"약한가뭄",220.4,14.3,18.2,43
"정상",227.4,14.5,20,35
"정상",306.6,14.6,16.8,35
"정상",313.5,14.7,20.5,45
"정상",324.7,14.7,20,45
"정상",470.6,14.4,23.5,77
"정상",474.6,14.2,27.3,50
"정상",734.6,12.2,16.8,78
"심한습윤",1292.5,11.1,16.4,76
"보통습윤",1533.4,12.6,23.6,34
"보통습윤",1531.6,12.2,19.9,33
"보통습윤",1498.6,11.6,18.9,32
"보통습윤",1447.3,10.9,13.8,33
"정상",1050.8,9.9,6.5,33
"정상",970.1,9.9,0.8,33
"정상",705.8,10.2,1.6,33
"정상",540.8,10.3,9.3,33
"약한가뭄",175.4,14.3,24.9,58
"약한가뭄",184.4,14.5,24,59
"약한가뭄",193.9,14.6,21.6,59
"정상",500.3,14,30.7,61
"정상",539.5,13.4,25.7,54
"정상",645.2,13.1,22.6,60
"정상",787.2,12.2,18.8,50
"정상",909.6,11.8,22.6,86
"심한습윤",1303.1,10.2,9.1,65
"심한습윤",1308.2,10,10,66
"심한습윤",1308.8,10,15.1,67
"심한습윤",1262,9.6,3.9,60
"심한습윤",1151.2,11.2,6.8,60
"심한습윤",1161.1,11.3,3.7,60
"심한습윤",1123.4,11.4,8.9,60
"정상",354.2,14.7,25.4,60
"정상",352,14.7,19.8,60
"심한습윤",937.4,13.5,26.9,60
"보통습윤",906.2,13.1,27.3,60
"보통습윤",1107.6,11.4,15.7,60
"보통습윤",1098,11.2,12.5,60
"정상",891,9.7,-1.7,59
"보통가뭄",150.6,12,11,60
"정상",207.4,13.2,10.9,60
"정상",231.7,13.7,9.7,60
"정상",498.8,14,26.3,60
"정상",498.8,13.9,26.9,60
"정상",795.2,9.6,6.8,59
"정상",511.5,11.1,-0.9,59
"약한가뭄",191.6,14.6,16,60
"보통가뭄",214.4,14.7,23.9,14
"약한가뭄",334.9,13.7,25.5,60
"약한가뭄",362.2,13.4,23.7,60
"보통가뭄",362.8,13.1,20.5,60
"정상",771.3,10.1,11.6,60
"정상",900.4,9.7,-1,60
"정상",897.4,9.6,1.6,60
"정상",641.1,9.7,1.6,41
"약한가뭄",405.6,10.8,7.3,20
"정상",393.9,14.5,17.5,40
"보통습윤",572.8,14.7,21.3,72
"정상",798.2,12.7,19.6,48
"정상",824.3,11.9,18.7,42
"보통습윤",1031.6,10,2.1,58
"보통습윤",1031,9.8,14.7,50
"보통습윤",805.3,10,1.8,49
"정상",912,13,25.7,63
"정상",963.8,12.1,17.7,38
"정상",990.2,10.8,13,39
"정상",650.3,9.8,-3.1,30
"정상",639.2,10.5,7.1,27
"보통가뭄",159.5,14.2,21.2,43
"보통가뭄",160.4,14.3,20.9,36
"보통가뭄",175.9,14.6,18.4,34
"보통가뭄",175.9,14.6,20.6,34
"보통가뭄",175.5,14.6,21.4,13
"심한가뭄",228,14.3,26.6,8
"보통가뭄",405.6,13.3,25.5,16
"보통가뭄",503.7,12.3,20.2,25
"약한가뭄",583.7,11.4,14,32
"약한가뭄",550.2,10.6,13.7,33
"정상",644.4,10,0.7,26
"정상",640,10,4.4,26
"정상",633.2,9.8,-2,21
"정상",376.1,10.8,-4.3,18
"정상",219.9,11.4,1.1,37
"보통습윤",445.8,11.6,5.8,26
"보통습윤",446.5,11.7,7.5,26
"정상",326.5,13.6,9.9,26
"정상",280.6,14.3,16,27
"정상",396.1,14.6,22.4,27
"정상",353.2,14.5,25.9,26
"정상",618.9,10.3,-1.2,15
"정상",541.7,10.6,-1.6,13
"정상",273.6,11.3,6.8,12
"정상",271.3,11.9,13.5,54
"정상",318.2,13.7,12.9,56
"정상",388.7,14.6,18.1,34
"정상",798.1,11.9,17.5,43
"보통습윤",1035,11.3,14,38
"보통습윤",977.9,9.9,9.1,26
"보통습윤",766,10.3,4.1,28
"심한습윤",767.5,10.5,4.7,31
"보통습윤",652.1,11,5.2,28
"심한습윤",479,12.3,10.5,34
"정상",532,14.2,27.7,46
"정상",610,13.8,28,45
"정상",701.5,12.4,21,40
"심한습윤",1216.9,10.9,15,37
"심한습윤",1214.6,10.2,4.1,34
"심한습윤",1173.2,9.8,4.1,26
"심한습윤",1056.4,9.7,2.2,25
"심한습윤",900.2,11.7,9,25
"보통습윤",477.5,12.7,14.4,25
"정상",350.6,13.6,16.7,26
"정상",334.6,14.7,20.3,26
"심한습윤",835.1,14,26.8,27
"심한습윤",912.2,13.8,21,26
"심한습윤",923.7,13.7,25.9,26
"심한습윤",1080.7,12.7,21.8,26
"보통습윤",1093.2,12.1,18.3,26
"보통습윤",1098,11.6,13.6,25
"보통습윤",1060.3,11.1,13.9,25
"보통습윤",1059.7,10.7,11.1,25
"보통습윤",1028.2,9.8,5,25
"정상",696.7,10.1,7,24
"정상",388.7,10.3,-0.6,25
"정상",348.5,14.7,21,25
"정상",348.3,14.6,21.5,25
"정상",629.6,13.7,24.1,25
"정상",780.5,13.3,24.4,26
"보통습윤",888.4,13.3,23.1,26
"보통습윤",902.1,13.2,23.2,26
"보통습윤",937.1,12.9,20.7,26
"정상",938.9,12.4,21.6,25
"보통습윤",1096.1,11.1,11.2,26
"정상",984.6,10.1,7.3,25
"정상",975.4,9.7,10.5,25
"정상",943.5,9.7,0.3,25
"정상",304.7,12.4,12.5,25
"보통가뭄",142.8,13.5,16.7,25
"약한가뭄",158.1,13.7,13,26
"보통가뭄",141.9,14.3,20.3,25
"보통가뭄",141.9,14.4,23.6,25
"보통가뭄",165.1,14.7,24.6,25
"보통가뭄",165.1,14.7,26.7,24
"심한가뭄",178.9,14.7,26,25
"심한가뭄",181.4,14.6,28,25
"보통가뭄",291,14.2,23.6,26
"보통가뭄",310.6,13.7,26.3,25
"약한가뭄",517.2,11.3,16.5,25
"정상",649.5,10,12.1,25
"정상",649.5,10,9.4,26
"정상",634.1,9.7,-2.7,25
"정상",397.8,14.6,23.4,24
"정상",784.2,9.8,1.7,129
"정상",566.5,10.5,-5.5,129
"심한습윤",472.1,11.8,7.6,129
"심한습윤",457.9,11.9,4.4,129
"심한습윤",457.9,12,5,129
"심한습윤",383.3,12.6,11.3,129
"정상",463.3,14.6,23.7,129
"정상",708.8,14.2,19.6,130
"보통습윤",1162.7,13.7,23.7,131
"정상",1308.2,11.7,16.9,129
"보통습윤",1088.4,9.7,-8.7,129
"정상",770.7,10.1,3.6,129
"정상",211.1,11.6,4.2,129
"약한가뭄",160.9,11.7,7.4,129
"정상",162.5,11.9,8,129
"보통습윤",377.3,14,9.8,129
"보통습윤",377.4,14,13.8,129
"보통습윤",452.5,14.2,16.9,130
"정상",500.2,14.7,22.1,129
"정상",781.1,14.5,25,130
"정상",781.1,14.4,25.2,130
"정상",794.8,13.7,23.5,129
"정상",1076.1,11.9,19.4,129
"정상",1024.3,11.5,21.9,129
"정상",1019.7,11.2,12.1,129
"정상",661.3,9.9,1.5,8
"정상",222,12,3.1,23
"정상",236.4,12.4,16,19
"정상",240.4,12.9,12.7,49
"정상",250.4,13,14.3,48
"보통습윤",393.3,13.8,10.2,39
"정상",778,14.3,29.8,13
"정상",877,13.4,24.8,12
"정상",1228.7,12.1,14.9,28
"정상",1228.7,12,14,26
"정상",1228.7,11.9,17.1,25
"정상",1268.2,11.6,12.9,40
"정상",1171.3,10.9,8.4,15
"보통습윤",802.1,10.2,-2.9,16
"심한습윤",732.2,11.1,3,15
"정상",316.8,11.9,3.1,11
"보통습윤",301.7,12.6,3,14
"약한가뭄",187.7,14.2,18.7,10
"약한가뭄",249.4,14.7,21.9,10
"약한가뭄",397.1,14.4,22.9,13
"약한가뭄",545.1,13.6,24.6,16
"약한가뭄",547.1,13.5,24.5,17
"보통가뭄",559.9,13.2,20.2,14
"정상",799.3,11,12.9,17
"정상",767.7,10.4,6.2,15
"정상",829.7,10.1,1.5,28
"정상",820.7,10.1,1.3,19
"정상",564.5,9.9,0.2,129
"정상",195.7,13.3,14.5,129
"약한가뭄",210.5,14.7,22.3,129
"약한가뭄",478.7,14.3,23,130
"약한가뭄",518.5,14.1,24.7,130
"정상",713.7,13.6,26.5,130
"정상",876,11.3,13.1,129
"정상",844.7,10.8,11.6,129
"정상",173.3,11.8,6.5,12
"정상",192.2,12.4,10.5,12
"심한습윤",453.5,14.3,15,74
"보통습윤",471.7,14.7,21.3,20
"정상",774.6,13.9,29.2,9
"정상",809.9,13.7,28.4,13
"정상",1091.6,12.1,15.9,18
"정상",1050.1,10.9,9.7,20
"정상",977.8,10,0.8,25
"정상",974.7,9.7,8.1,30
"정상",970.8,9.6,-4,23
"정상",750.2,9.7,-3.2,21
"보통습윤",641.6,11,1.2,20
"정상",323.7,11.8,2.8,15
"정상",318,12,5.8,12
"보통습윤",318,12.1,9.2,14
"보통습윤",296.5,12.7,8.6,17
"정상",224.4,13.3,13.7,11
"보통가뭄",220.9,14.7,23.5,7
"심한가뭄",262.4,14.4,26.3,7
"약한가뭄",502.4,13.9,26.7,20
"약한가뭄",535.6,13.6,24.6,15
"정상",735.6,14.1,25.4,48
"보통습윤",1464.6,12.5,20.1,47
"보통습윤",1445.3,11,8.6,46
"보통습윤",1445.3,10.9,10,46
"보통습윤",1445.4,10.5,4.2,46
"보통습윤",1377,10,2.1,46
"보통습윤",1377,10,2.5,46
"정상",771.6,10.7,12.4,16
"정상",771.6,10.6,10.9,17
"정상",771.6,10.6,10.4,17
"정상",841.9,10,2,32
"정상",788.3,9.6,-0.2,46
"정상",807.2,9.9,-0.6,46
"정상",531.1,11,-0.1,46
"정상",255.8,12.9,8.9,46
"정상",313.2,14.2,20.6,46
"정상",767.3,9.7,5.6,108
"약한가뭄",504.1,9.8,-0.4,107
"정상",228.7,11.6,2.7,107
"정상",171,12.9,16.4,107
"정상",191.7,13.9,18.6,108
"약한가뭄",165,14.2,14.5,108
"정상",455.6,14.8,24.4,49
"정상",817.4,13.8,29.4,26
"정상",826.6,13.4,29.7,22
"정상",1022.8,12.4,22,32
"정상",1055.1,12,17,31
"정상",1032.4,10.8,7.9,37
"정상",902.4,10.1,5.3,45
"정상",914.6,9.7,-6.8,54
"정상",556.5,10.8,-1.1,50
"정상",389.1,14.6,26.5,108
"정상",603.9,14.3,26.7,109
"정상",680.2,13.9,28.8,109
"정상",1254.1,11.4,11.5,108
"정상",1198.2,10.3,10.7,108
"약한가뭄",199.4,14.8,22.2,44
"보통가뭄",243.3,14.5,24.1,17
"정상",825.3,12.6,21.2,48
"약한가뭄",813.3,12.1,16.5,37
"정상",818.8,10.3,7,42
"정상",826.1,9.6,4.9,68
"정상",826.2,9.6,-0.2,68
"정상",829.8,9.6,2.7,68
"정상",819.5,10,0.7,68
"정상",307,11.9,6.5,68
"정상",258.9,13.6,12.5,68
"정상",264.7,14.4,19.9,69
"정상",267,14.6,23.4,68
"정상",281.6,14.7,23,68
"정상",273.7,14.8,25.5,68
"약한가뭄",353.8,14.4,24.1,69
"약한가뭄",353.9,14.4,25,69
"정상",1156.5,11,12.5,69
"정상",190,11.8,9.1,68
"정상",248.9,12.9,12.3,68
"정상",518,14.7,21.6,69
"정상",514.7,14.6,25,69
"정상",517.2,14.6,25.8,69
"약한가뭄",672.6,13.3,23.1,69
"약한가뭄",739.6,10.8,9.7,69
"정상",361.9,10.5,-8.5,44
"보통가뭄",137.7,11.5,4.6,40
"정상",156.4,12.4,11.5,52
"약한가뭄",155.5,12.5,15.7,50
"정상",194.8,13,14.7,42
"정상",206.1,13.3,15,44
"정상",294.5,14,16.3,59
"보통습윤",427,14.6,23.7,72
"정상",422.2,14.7,25.9,65
"정상",659.2,14.2,29.3,41
"정상",673.5,13.5,28.1,38
"정상",952.2,12.7,20.7,54
"정상",984,11.9,18.4,44
"정상",999.1,11.7,16.5,57
"정상",1001.4,11.4,10.9,59
"정상",819.4,9.7,-2.1,67
"정상",247.7,12,6.6,60
"정상",228.7,12.6,6,48
"보통가뭄",145.4,14.4,23.4,49
"심한가뭄",138.9,14.6,24.1,53
"심한가뭄",248,14.4,26.9,27
"약한가뭄",744.8,11.5,19.2,35
"보통가뭄",582.7,9.6,6.9,107
"보통가뭄",581.4,9.6,0.8,107
"정상",586.3,9.9,-1.4,107
"보통습윤",322.3,12,4.1,107
"정상",239.9,12.8,9.3,107
"정상",235.3,13.1,12.4,107
"정상",328.2,12.3,7.4,68
"정상",394.4,13.4,11.1,73
"정상",393.4,13.4,12.5,71
"정상",739,14.5,22.6,70
"정상",735.9,14.4,25.4,30
"정상",717.9,14.1,27.9,23
"정상",806.7,13.2,23.9,33
"정상",1301.5,12.5,21.2,45
"정상",1321.6,11.5,11,76
"정상",1242.6,10.9,9.2,71
"정상",697.6,14.4,20.9,28
"정상",826.6,14.3,20.2,28
"정상",968.5,14.1,22.5,28
"보통습윤",1497.9,12.8,22.6,28
"보통습윤",1574.8,12.3,20.6,28
"정상",1556.2,11.6,15.1,28
"보통습윤",1293.1,9.8,1,28
"정상",1209.7,9.8,-3.2,28
"보통습윤",1194.6,10,-5.6,27
"정상",327.1,13.6,10.6,28
"정상",375.3,13.8,13.8,28
"정상",430.8,14.5,22,26
"정상",509.1,14.5,21.8,29
"정상",761.9,14.5,23.2,29
"정상",828.2,13.8,29,28
"정상",907.5,13.6,26.3,27
"정상",1098.1,12.8,21.4,28
"정상",1059.2,11.7,23.1,27
"정상",1072.4,11.5,23.2,28
"정상",981,10.1,3.4,28
"정상",536.5,10.3,2,28
"정상",443.5,11,-0.6,28
"정상",431.5,11.1,-1.1,28
"정상",238.2,12.5,13,28
"정상",208.7,12.8,12.4,28
"정상",208.7,12.9,15,28
"보통가뭄",203,14,18.5,28
"보통가뭄",307.6,14.5,26.6,28
"약한가뭄",701.4,10.2,11.3,27
"정상",773.3,10,0.1,28
"정상",705.6,9.9,4,28
"보통가뭄",519.2,11.3,17.5,125
"보통가뭄",506.7,10.9,11.7,125
"보통가뭄",506.7,10.8,12.6,125
"보통가뭄",494.7,10.3,9.7,125
"약한가뭄",509.4,9.7,1.8,125
"약한가뭄",482.6,9.7,-3,125
"약한가뭄",180.4,14.7,21.9,1
"약한가뭄",192.4,14.7,18.4,1
"약한가뭄",192.4,14.7,21.5,1
"약한가뭄",209.7,14.8,23.1,10
"심한가뭄",236.9,14.4,28,11
"심한가뭄",243.1,14.4,25.1,11
"약한가뭄",685.6,12,22.9,15
"약한가뭄",710.8,11.1,17.1,26
"정상",681.6,9.6,2.7,16
"정상",387.8,11.5,1.4,16
"정상",283.4,12.1,10,16
"정상",280.8,14.5,16.2,16
"정상",404.9,14.5,26.1,17
"정상",878.2,13.9,24.1,17
"정상",1173.3,13.3,27.8,17
"정상",1362.9,12.7,21.1,17
"정상",1394.9,10.6,10.8,16
"정상",1389.8,9.9,5.6,16
"심한습윤",399.3,13.9,13.9,17
"정상",741.3,13.5,24.3,16
"정상",845,10.3,4.2,16
"약한가뭄",701.7,9.6,2.2,16
"정상",476.1,10.1,4.6,16
"정상",441.3,10.6,1,16
"정상",443,10.9,-7.3,16
"정상",428.2,11,-1.7,16
"정상",204.2,13.7,13,16
"약한가뭄",186.4,14.8,25.9,16
"정상",289.4,14.8,24.3,16
"정상",708.9,14.5,26.8,17
"보통습윤",1544,10.7,14.9,16
"정상",668.5,14.3,29.9,51
"정상",913.9,13,22,62
"정상",952.5,12.9,21.8,62
"정상",899.7,9.7,-5.4,61
"정상",702.3,9.8,0.4,62
"정상",669.6,9.9,2.3,57
"심한습윤",683.2,10.8,-0.3,49
"심한습윤",683.2,10.9,1.5,49
"심한습윤",590.3,11,-2.8,144
"정상",267.5,13.9,15.7,144
"정상",325.1,14.3,17.8,144
"정상",327,14.4,18.3,144
"정상",364.5,14.7,24.3,144
"정상",392.7,14.7,22.1,144
"심한습윤",1313.2,13.6,27,146
"정상",476.1,14.7,21.3,254
"정상",642.8,14.5,24.2,254
"정상",692.9,13.7,21.9,254
"정상",897,12.6,18.8,254
"정상",865.8,11.5,20.1,254
"정상",872.9,11,5.6,254
"정상",607.7,9.7,-1.3,254
"정상",484.3,9.9,-5.9,254
"정상",468.8,10.4,-4.3,254
"정상",437.7,10.6,-3.2,254
"정상",413.2,11,-4,254
"정상",218.5,14.3,18.2,57
"정상",224.3,14.6,24.5,56
"약한가뭄",286.3,14.7,20.5,43
"약한가뭄",520.5,13.9,28.9,39
"약한가뭄",719.4,12.7,24.8,49
"정상",817.7,12,18.5,56
"정상",902.2,11.8,20.2,61
"정상",930.7,11.7,19.5,75
"정상",893.4,11.2,13.7,63
"정상",893.5,11.1,13.6,62
"정상",891,11,16.7,60
"정상",863.5,10.9,11.9,58
"정상",836.7,10.6,10,61
"심한습윤",1475.4,11,9.6,145
"심한습윤",1384.5,9.9,1.3,144
"심한습윤",1052,10,-4.2,143
"정상",322.7,11,-5.9,143
"보통가뭄",157.8,11.6,4.3,144
"정상",260.7,13.2,9.7,144
"약한가뭄",174.3,11.5,3.8,254
"약한가뭄",174.1,11.6,0.9,254
"정상",192.7,12.6,6.7,254
"정상",190.1,12.6,4.6,254
"보통가뭄",151,14.6,15,254
"정상",370.2,14.5,21.8,254
"정상",762.4,12,15,254
"정상",739.6,12,16.2,254
"정상",788.6,10.3,9.7,254
"정상",190.3,12.1,1.6,74
"정상",206.3,13,14.1,72
"정상",224.3,13.2,9.1,74
"정상",415.5,14.4,18.7,65
"정상",719.4,13.6,27.9,27
"정상",723.4,13.5,20.3,29
"정상",1043,12.6,17.9,43
"정상",1036.4,11.5,11,81
"정상",943.9,10.9,8.6,63
"정상",867.8,9.9,2.2,64
"정상",883.7,9.6,-1.8,67
"정상",883.4,9.6,-0.8,67
"정상",597.7,10,-0.6,54
"정상",594.7,10.4,0.6,45
"정상",609.8,10.6,1.2,46
"정상",227.3,11.6,4.4,52
"정상",208.3,13.6,9.3,62
"약한가뭄",196.8,14.5,16.8,45
"정상",559.3,13.6,26.6,38
"정상",566.8,13.4,23.8,32
"정상",566.8,13.3,21.5,32
"정상",710.5,12.5,17.8,38
"정상",761.3,12.1,15.9,45
"정상",840,11.1,15.3,75
"정상",789,9.7,-2.8,254
"정상",789,9.7,-1.7,254
"정상",681,9.7,-2.9,254
"정상",676.1,9.7,0.6,254
"정상",721.7,9.8,-0.5,254
"정상",497.9,11,2.5,254
"정상",450.7,11.5,3.3,254
"정상",196.4,12.8,7.3,254
"정상",202.4,13.1,7,254
"정상",283,14.6,17.5,254
"정상",293.1,14.6,24,254
"정상",500.6,14.3,19.8,254
"정상",953.4,13.3,22.1,254
"보통습윤",1093.1,10.6,7.9,254
"정상",1020.7,10,2.5,254
"정상",1018,9.8,-1.1,254
"보통습윤",903.7,9.7,-5.5,254
"보통습윤",903.7,9.7,-6.1,254
"보통습윤",808.2,10.1,-1.7,253
"약한가뭄",323.4,10.7,0.7,253
"약한가뭄",141.1,11.8,5.5,254
"정상",930.8,13.5,26.4,27
"정상",1106.7,12.5,21.2,27
"정상",1093.1,10.6,9.5,26
"정상",907.3,9.8,-0.7,26
"정상",809.4,10,-0.2,26
"정상",522.2,10.6,4,26
"정상",289.1,11.4,8.1,26
"정상",236,14.3,17.1,27
"정상",438.6,14.2,28.4,26
"약한가뭄",434.5,14,28.1,26
"정상",686.4,12.9,22.9,27
"정상",736.1,12.4,24.4,27
"정상",787.6,11.7,24.6,26
"정상",790.5,11.4,19.7,26
"정상",810.7,11.2,11.6,26
"정상",810.7,11,10.5,26
"정상",831.3,10,5.6,26
"정상",770.2,9.7,4.9,26
"정상",241.6,13.6,13.2,26
"정상",340.2,14.5,28.1,26
"정상",363.6,14.4,24.3,26
"정상",956.1,13.5,25.1,27
"정상",1169,12.4,26.2,27
"정상",1154.2,12.1,17.4,27
"보통습윤",1219.6,9.8,-1.2,26
"정상",939.3,14,27.9,33
"정상",1270.3,12.9,22.7,34
"정상",1267.2,12.6,24.1,34
"정상",1271.1,12.6,24.4,34
"정상",1161.8,10,11,33
"정상",1061.4,9.8,-4.6,33
"정상",1061.4,9.9,4.3,33
"정상",1000.9,9.9,4.4,33
"정상",226.6,12,3.7,72
"정상",228.1,12,8.5,70
"정상",222.1,12.6,19.2,49
"정상",856.6,10,8.9,76
"정상",270.8,13.6,14,112
"정상",214.4,12.1,5.6,33
"약한가뭄",203.1,13.3,16.7,32
"정상",242.5,13.4,18.3,33
"정상",297.2,13.7,19.1,33
"약한가뭄",271,14.2,22.7,32
"약한가뭄",254.8,14.3,20.6,32
"약한가뭄",299,14.4,19.2,33
"심한가뭄",345.7,14.4,27.4,33
"정상",983.8,12.6,22.6,34
"정상",943.1,12.2,21.3,33
"약한가뭄",841,11.9,22.2,33
"정상",605.6,14.2,21.6,112
"정상",736.2,13.8,23.2,112
"정상",1016.5,12,17.6,112
"정상",836.2,9.8,-5.9,112
"보통습윤",801.2,9.9,-5.4,112
"정상",515.3,10.5,1.6,112
"심한습윤",469.1,11.7,7.8,71
"정상",268,14.4,17.8,112
"정상",315.7,14.6,23.7,112
"정상",579.7,14.2,26.1,112
"정상",856.7,12.8,21.1,112
"정상",800.2,11.6,20.7,112
"정상",850.3,11,9.9,112
"정상",857.5,10.4,6.6,112
"정상",779.1,9.7,-7.5,112
"정상",513.8,10.1,-2.5,112
"정상",513.7,10.2,3.8,112
"약한가뭄",122.9,13,20.6,112
"심한가뭄",103.7,14.2,22.2,112
"심한가뭄",117.1,14.5,15.3,112
"보통가뭄",265.1,14.4,23.8,112
"보통가뭄",373.7,13.6,25.9,112
"정상",671.6,10.5,-1.8,63
"정상",424.4,11.6,8.3,44
"보통습윤",419.5,12.1,9.1,55
"심한습윤",452.7,12.2,7.3,59
"정상",367.7,13.3,17.2,60
"정상",424.3,13.4,16.9,66
"정상",502.6,13.9,18.1,70
"약한가뭄",557.4,10.1,11.3,112
"정상",587,9.9,-1.7,112
"정상",587,9.9,-1.1,112
"약한가뭄",527.7,9.7,-0.1,112
"정상",531.5,9.7,-0.6,112
"보통습윤",978.1,14.3,27.2,56
"정상",958.5,13.9,29.6,57
"정상",963.9,13.4,25.8,67
"정상",963.9,13.3,28.2,67
"정상",1143.7,11.1,17.6,69
"정상",1084,10.6,15.3,50
"정상",1028.8,10.3,10.3,58
"정상",999.7,9.8,4.1,60
"정상",595.5,10,4.4,73
"정상",596.4,10.1,-0.5,73
"정상",596.5,10.3,3.3,71
"정상",620.6,10.6,6,73
"보통습윤",640.2,11.3,8.9,79
"정상",277.1,13.8,17.7,65
"정상",354.7,14.2,21.6,68
"정상",410.6,14.4,19,72
"정상",409.9,14.5,19.9,72
"정상",638.2,14.4,24.6,63
"정상",916.2,13.8,28.6,68
"정상",916.4,13.7,28,73
"정상",917.6,13.6,27.9,72
"정상",918.7,13.2,24.1,73
"정상",944.3,13.1,23.3,72
"정상",1355.5,11.8,22.4,85
"정상",1314.1,11.1,18.6,75
"정상",1195.8,10.3,7.1,63
"정상",200.5,12.8,4.8,66
"정상",309.2,14.1,18.3,58
"정상",323.4,14.7,22.5,37
"정상",575.6,14.5,26.8,28
"정상",569.4,14.3,28.2,21
"정상",877,12.8,21.4,34
"정상",876.2,12.7,18.6,30
"정상",856.9,10.2,4.6,69
"정상",854.3,9.7,-2.1,59
"정상",324.6,11.4,4.2,51
"약한가뭄",171.2,13.6,10.3,56
"보통가뭄",196.9,14.6,23.9,11
"보통가뭄",497.1,12.9,21.6,15
"약한가뭄",629.9,11.5,12,54
"정상",722.7,9.8,-1.8,66
"정상",648.7,9.7,0,66
"정상",455.1,11.3,4.4,66
"심한습윤",423.3,12.1,7.9,66
"정상",294.7,14.1,18,66
"정상",308.2,14.7,24.3,66
"정상",370.9,14.6,19.9,66
"정상",1083.2,13,27.1,67
"보통습윤",1238.8,10.6,3.1,66
"보통습윤",1192,9.8,-0.3,66
"보통습윤",1072.6,9.7,-4.5,66
"정상",519.9,10.6,4,66
"정상",355.6,11.3,6.8,66
"정상",172.6,12.6,17,66
"정상",201.8,13.5,15.1,66
"정상",290.5,14.5,16.2,67
"정상",444.2,14.3,27.1,66
"정상",439.9,14.2,28.1,66
"정상",758.3,12.8,20.2,67
"정상",735.1,9.6,3.6,66
"정상",264,11.5,3.6,66
"보통가뭄",151.2,14.4,20.8,66
"보통가뭄",152.1,14.4,19.7,66
"보통가뭄",133.9,14.6,20.5,66
"정상",686.9,13.4,26.9,67
"정상",918.6,11.1,7.3,66
"정상",909,10.2,6.7,66
"정상",909,10.2,7.3,66
"정상",923.7,9.7,-0.1,66
"정상",924.4,9.7,0.7,66
"정상",1027.6,9.8,-2.8,48
"정상",1025.1,9.8,0.9,48
"정상",839.1,9.9,-11.2,47
"약한가뭄",147.2,11.4,0.9,57
"약한가뭄",176.3,11.7,3,51
"약한가뭄",154.8,11.9,14,47
"정상",864.2,9.6,1.5,44
"정상",303.6,14.1,18,68
"정상",386.4,14.4,13.6,69
"정상",560,14.7,16.7,63
"정상",605.3,14.5,25,52
"보통습윤",1409.6,10,8.6,61
"보통습윤",1388,9.8,11.1,59
"보통습윤",1388,9.7,6.2,65
"심한습윤",1390.4,9.7,9,64
"심한습윤",1388.2,9.5,1.4,63
"심한습윤",1351.9,9.5,-3.7,63
"심한습윤",1170.2,9.9,1.7,62
"보통습윤",855.4,10.9,2.1,59
"정상",561.3,11.8,6.9,65
"보통습윤",562.8,12.1,16.3,60
"보통가뭄",175.3,14.7,22.8,41
"정상",828.5,12.9,23.1,14
"정상",939.2,12,19.5,13
"정상",1066.7,11.2,14.3,48
"정상",1052.8,10.8,13.5,45
"심한습윤",1344,13.6,28.9,12
"심한습윤",1813.3,12.8,21.3,12
"정상",549.2,11.1,4,10
"심한가뭄",136.3,11.9,10.6,12
"정상",362.1,14.7,17.1,12
"정상",379.9,14.8,19.3,12
"정상",379.4,14.8,20.3,12
"정상",788.7,11.9,19.4,12
"정상",794.7,9.5,-2.6,11
"정상",697,9.7,-2.8,11
"정상",691.9,9.9,-4.5,11
"정상",685,10.4,-5.1,11
"정상",431,12.7,7.3,12
